"FullName","Name","PSIsContainer","Length","LastWriteTime"
"C:\Users\boss\Downloads\FH6TOOLBELT\CodexWorkspace","CodexWorkspace","True",,"6/8/2026 9:17:25 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CodexWorkspace\research-all-forza-horizon-6-game","research-all-forza-horizon-6-game","True",,"6/8/2026 9:17:25 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CodexWorkspace\research-all-forza-horizon-6-game\outputs","outputs","True",,"6/8/2026 9:17:25 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CodexWorkspace\research-all-forza-horizon-6-game\work","work","True",,"6/8/2026 9:17:25 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData","CompanionDoctorData","True",,"6/9/2026 5:52:09 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\CrashExperimentLab","CrashExperimentLab","True",,"6/9/2026 6:04:43 AM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\CrashExperimentLab\CrashExperimentLab_forzahorizon6.exe_20260609_060353.journal.csv","CrashExperimentLab_forzahorizon6.exe_20260609_060353.journal.csv","False","0","6/9/2026 6:04:16 AM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\CrashExperimentLab\CrashExperimentLab_forzahorizon6.exe_20260609_060353.json","CrashExperimentLab_forzahorizon6.exe_20260609_060353.json","False","6625","6/9/2026 6:04:16 AM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\CrashExperimentLab\CrashExperimentLab_forzahorizon6.exe_20260609_060353.plan.csv","CrashExperimentLab_forzahorizon6.exe_20260609_060353.plan.csv","False","2922","6/9/2026 6:04:16 AM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\CrashExperimentLab\CrashExperimentLab_forzahorizon6.exe_20260609_060353.quality.csv","CrashExperimentLab_forzahorizon6.exe_20260609_060353.quality.csv","False","1230","6/9/2026 6:04:16 AM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\CrashExperimentLab\CrashExperimentLab_forzahorizon6.exe_20260609_060353.txt","CrashExperimentLab_forzahorizon6.exe_20260609_060353.txt","False","4376","6/9/2026 6:04:30 AM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\CrashMatrix","CrashMatrix","True",,"6/9/2026 5:26:49 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\CrashMatrix\CrashMatrix_30days_20260609_172631.apps.csv","CrashMatrix_30days_20260609_172631.apps.csv","False","7013","6/9/2026 5:26:39 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\CrashMatrix\CrashMatrix_30days_20260609_172631.clusters.csv","CrashMatrix_30days_20260609_172631.clusters.csv","False","9343","6/9/2026 5:26:39 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\CrashMatrix\CrashMatrix_30days_20260609_172631.json","CrashMatrix_30days_20260609_172631.json","False","32977","6/9/2026 5:26:39 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\CrashMatrix\CrashMatrix_30days_20260609_172631.signals.csv","CrashMatrix_30days_20260609_172631.signals.csv","False","1060","6/9/2026 5:26:39 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\CrashMatrix\CrashMatrix_30days_20260609_172631.txt","CrashMatrix_30days_20260609_172631.txt","False","8372","6/9/2026 5:26:39 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\CrashOpsCenter","CrashOpsCenter","True",,"6/9/2026 5:52:09 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\CrashScope_Universal","CrashScope_Universal","True",,"6/8/2026 9:37:29 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Backups","FH6_CompanionDoctor_Backups","True",,"6/9/2026 6:32:51 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Logs","FH6_CompanionDoctor_Logs","True",,"6/9/2026 6:32:59 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Logs\FH6_CompanionDoctor_Run_20260609_183246.log","FH6_CompanionDoctor_Run_20260609_183246.log","False","137","6/9/2026 6:32:56 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Logs\FH6_CompanionDoctor_Run_20260609_183259.log","FH6_CompanionDoctor_Run_20260609_183259.log","False","54","6/9/2026 6:32:59 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_PortableBundles","FH6_CompanionDoctor_PortableBundles","True",,"6/9/2026 6:00:25 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_PortableBundles\FH6_CompanionDoctor_Portable_20260608_202609.zip","FH6_CompanionDoctor_Portable_20260608_202609.zip","False","58339","6/8/2026 8:26:47 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_PortableBundles\FH6_CompanionDoctor_Portable_20260608_202849.zip","FH6_CompanionDoctor_Portable_20260608_202849.zip","False","58276","6/8/2026 8:29:18 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_PortableBundles\FH6_CompanionDoctor_Portable_20260608_204040.zip","FH6_CompanionDoctor_Portable_20260608_204040.zip","False","63608","6/8/2026 8:41:13 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_PortableBundles\FH6_CompanionDoctor_Portable_20260608_204250.zip","FH6_CompanionDoctor_Portable_20260608_204250.zip","False","63601","6/8/2026 8:43:24 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_PortableBundles\FH6_CompanionDoctor_Portable_20260608_211516.zip","FH6_CompanionDoctor_Portable_20260608_211516.zip","False","68514","6/8/2026 9:15:52 PM"
